Country Code,Country,Energy,Protein,Zinc,Iron,Calcium,Selenium,Magnesium,Vitamin C,Thiamine,Riboflavin,Niacin,Vitamin B6,Pathothenate,Vitamin B12,Folate,Vitamin A,Vitamin E,Vitamin K,Polyunsaturate fatty acids,Phosphorus,Manganese,Copper,Choline,Potassium,Fibre,Food Production Adequacy indic ator
NCL,New Caledonia,0.1,0.3,0.4,0.2,0.1,1.0,0.2,0.8,0.2,0.2,0.2,0.3,0.2,0.6,0.2,0.2,0.2,3.0,0.1,0.3,0.4,0.4,0.3,0.2,0.2,0.1
NZL,New Zealand,2.1,5.2,7.4,1.6,5.9,16.0,4.6,5.5,4.0,10.3,3.5,4.4,5.3,19.3,1.5,5.0,1.4,7.5,1.2,8.1,5.1,4.2,2.9,3.6,1.5,1.2
NIC,Nicaragua,1.3,1.6,2.0,0.8,0.9,3.2,2.7,1.1,1.8,1.2,1.7,2.0,1.3,1.5,1.3,0.4,1.0,0.7,1.0,1.8,2.7,2.8,0.6,1.0,1.1,0.4
NER,Niger,1.3,2.7,2.7,1.9,0.6,2.0,5.8,2.4,3.3,1.9,2.4,2.7,1.6,0.6,3.3,0.5,0.7,4.4,1.3,2.8,6.1,6.8,0.6,1.3,2.2,0.5
NGA,Nigeria,1.2,1.5,1.8,1.1,0.4,2.1,3.7,4.9,2.2,1.0,1.6,2.7,1.2,0.4,1.7,0.7,1.5,5.3,1.0,1.7,4.2,3.9,0.7,1.9,1.7,0.4
MKD,North Macedonia,0.6,1.0,1.8,0.8,0.8,5.4,2.1,5.8,1.7,3.0,1.2,2.0,1.1,0.9,0.8,0.9,0.9,3.6,0.4,2.0,5.2,2.4,0.6,1.2,1.6,0.4
NOR,Norway,1.0,4.1,2.7,0.9,1.3,14.0,2.7,0.9,2.3,2.8,4.3,4.1,2.9,15.9,0.6,1.6,1.5,0.9,1.0,4.8,2.8,2.0,2.2,1.8,0.7,0.6
OMN,Oman,0.3,0.8,0.6,0.3,0.4,2.1,0.8,1.1,0.4,0.7,0.8,1.0,0.6,3.4,0.3,0.5,0.3,4.2,0.1,0.8,0.5,1.0,0.4,0.7,0.5,0.1
PAK,Pakistan,1.1,1.8,2.4,1.1,1.0,10.3,3.3,1.0,2.0,1.3,1.8,1.9,1.4,1.3,0.7,0.6,0.8,1.1,0.5,2.7,8.0,2.9,0.6,1.0,1.7,0.5
PSE,Palestine,0.2,0.5,0.6,0.4,0.3,1.3,0.7,1.8,0.5,0.8,0.5,0.8,0.5,0.6,0.3,0.5,0.5,2.0,0.2,0.6,1.3,0.9,0.3,0.5,0.5,0.2
PAN,Panama,0.8,1.2,1.2,0.5,0.5,3.2,1.2,1.3,0.9,0.9,1.3,1.8,1.0,3.3,0.3,0.4,0.5,0.3,0.3,1.2,1.8,1.1,0.6,0.8,0.4,0.3
PNG,Papua New Guinea,3.1,1.9,1.9,1.4,0.5,3.5,2.5,7.7,1.5,1.3,1.9,3.0,1.5,4.3,1.1,2.6,8.4,7.5,2.3,1.7,3.6,3.7,0.9,2.0,2.3,0.5
PRY,Paraguay,3.4,6.6,7.9,5.1,3.8,14.6,11.6,12.1,10.5,4.8,5.5,6.7,2.6,2.4,7.4,0.9,3.6,5.5,4.8,7.6,12.4,8.7,2.6,4.5,5.2,0.9
PER,Peru,1.2,2.5,1.9,1.0,0.8,8.1,2.6,3.5,1.6,2.0,1.9,3.1,1.8,20.1,0.9,1.0,1.2,1.2,0.8,2.5,3.1,3.0,1.2,1.6,1.1,0.8
PHL,Philippines,1.3,1.6,1.9,0.9,0.4,4.7,2.5,2.8,1.7,0.9,1.7,2.5,1.6,2.1,0.7,0.6,0.7,5.8,0.5,1.7,5.4,2.9,0.6,1.1,1.3,0.4
POL,Poland,1.4,2.1,3.7,1.6,1.5,11.5,3.4,2.7,3.1,2.4,2.5,2.9,2.2,2.6,0.9,1.4,2.1,3.9,1.5,3.9,7.5,3.3,1.1,1.7,2.5,0.9
PRT,Portugal,0.6,1.2,1.5,0.8,1.1,3.6,1.2,2.5,1.5,2.8,1.1,1.6,1.1,2.7,0.5,1.1,1.1,3.0,0.5,1.6,2.1,1.6,0.7,1.0,0.8,0.5
PRI,Puerto Rico,0.2,0.4,0.4,0.1,0.4,0.8,0.4,0.8,0.3,0.6,0.3,0.5,0.4,0.8,0.1,0.4,0.1,0.2,0.1,0.5,0.1,0.3,0.2,0.3,0.1,0.1
QAT,Qatar,0.1,0.2,0.2,0.1,0.1,0.4,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.4,0.1,0.1,0.1,0.2,0.0,0.2,0.1,0.2,0.1,0.2,0.1,0.0
KOR,Republic of Korea,0.5,1.1,2.1,0.6,0.5,3.5,1.2,2.9,1.1,0.9,1.1,1.6,1.0,3.2,0.6,0.8,0.5,7.4,0.3,1.3,2.4,1.7,0.6,0.7,0.5,0.3
MDA,Republic of Moldova,1.3,1.8,3.5,1.5,0.9,9.6,4.8,1.6,4.0,3.2,2.4,3.8,1.4,1.0,1.3,0.6,6.0,1.8,2.4,3.6,6.7,5.3,0.8,1.3,2.2,0.6
ROU,Romania,1.7,2.7,5.4,2.3,1.4,17.8,6.5,3.2,5.4,3.5,3.6,4.7,2.3,1.8,1.9,1.1,7.2,2.5,2.9,5.6,11.9,7.1,1.3,2.0,3.6,1.1
RUS,Russian Federation,1.4,2.5,4.6,1.9,1.1,16.9,5.0,2.0,4.1,2.2,3.2,3.7,2.1,2.7,1.4,0.9,4.2,2.0,1.6,4.8,10.8,5.3,1.2,1.7,2.9,0.9
RWA,Rwanda,1.0,1.5,1.6,1.0,0.5,1.8,3.4,4.0,2.0,1.3,1.3,3.8,1.4,0.4,1.9,2.5,0.5,1.7,0.4,1.5,3.1,3.2,0.6,2.0,2.0,0.4
LCA,Saint Lucia,0.2,0.4,0.5,0.3,0.2,1.3,0.5,1.5,0.4,0.4,0.5,0.6,0.4,0.9,0.2,0.3,0.3,1.4,0.1,0.4,0.8,0.7,0.3,0.4,0.4,0.1
VCT,Saint Vincent and the Grenadines,0.4,0.5,0.7,0.7,0.3,1.2,1.1,3.5,0.7,0.6,0.6,1.1,0.6,1.0,0.9,0.9,0.5,4.4,0.2,0.7,1.4,1.5,0.4,0.8,0.9,0.2
WSM,Samoa,1.5,1.0,2.1,1.7,0.5,4.6,2.5,3.2,1.3,0.6,1.0,2.0,1.1,1.1,1.1,0.2,1.1,1.2,0.3,1.9,8.3,6.3,0.6,2.0,3.5,0.2
STP,Sao Tome and Principe,1.1,1.1,1.3,1.0,0.2,3.3,2.6,2.6,0.7,0.8,1.1,2.2,0.8,2.6,0.6,0.4,1.6,1.4,0.5,1.3,4.0,4.4,0.5,1.5,2.0,0.2
SAU,Saudi Arabia,0.3,0.6,0.8,0.3,0.4,2.6,0.9,0.8,0.6,0.7,0.7,0.8,0.6,0.8,0.2,0.3,0.2,0.7,0.1,0.9,1.6,1.0,0.3,0.6,0.6,0.1
SEN,Senegal,0.7,1.4,1.3,0.6,0.3,2.5,2.1,0.8,1.3,0.8,1.5,1.4,0.9,3.9,0.9,0.3,0.9,0.6,1.0,1.3,2.5,2.4,0.4,0.6,0.7,0.3
SRB,Serbia,1.5,2.2,4.4,2.1,1.3,14.6,5.2,2.8,4.4,2.6,3.0,3.7,1.9,1.5,1.5,0.8,4.1,1.9,1.8,4.4,9.5,5.3,1.0,1.7,2.9,0.8
SYC,Seychelles,0.9,7.4,2.0,1.2,0.4,33.1,3.5,1.0,2.3,2.7,16.5,10.2,2.4,34.5,0.4,7.0,1.5,3.2,0.8,5.9,0.6,1.9,2.8,2.2,0.2,0.2
SLE,Sierra Leone,1.2,1.5,1.5,0.7,0.4,3.2,2.4,3.1,1.5,0.9,1.5,1.7,1.3,3.3,0.8,0.9,1.4,5.9,0.8,1.4,4.3,2.7,0.5,0.9,1.0,0.4
SGP,Singapore,0.0,0.2,0.2,0.1,0.0,0.4,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.0,0.1,0.0,0.5,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.0
SVK,Slovakia,1.5,2.1,4.6,2.0,0.9,16.3,5.4,0.7,4.3,2.2,3.1,3.3,1.8,1.1,1.1,0.5,3.7,1.1,1.8,4.5,10.9,5.2,1.0,1.4,3.4,0.5
SVN,Slovenia,0.7,1.3,2.2,0.8,1.1,6.1,1.9,0.9,1.7,2.6,1.3,1.7,1.3,2.2,0.4,0.8,0.5,1.2,0.5,2.3,3.6,1.8,0.7,0.9,1.1,0.4
SLB,Solomon Islands,3.1,1.5,1.8,1.4,0.5,4.7,2.8,2.9,1.3,0.7,1.7,2.2,1.3,2.8,0.7,3.7,7.7,3.6,2.1,1.8,5.7,5.7,0.6,1.9,2.8,0.5
SOM,Somalia,0.4,1.0,0.9,0.3,1.0,1.2,1.2,0.9,0.7,1.2,0.5,0.7,0.6,1.2,0.2,0.6,0.2,0.9,0.3,1.2,0.7,1.1,0.3,0.6,0.3,0.2
ZAF,South Africa,1.1,1.8,2.7,1.1,0.6,6.5,3.6,1.9,2.5,2.2,2.1,3.3,1.2,2.0,0.8,0.5,1.5,1.5,1.1,2.4,4.0,3.1,0.7,1.2,1.7,0.5
SSD,South Sudan,1.1,2.3,2.9,1.4,2.0,4.1,4.5,2.5,2.3,2.4,1.7,2.4,1.3,2.8,0.9,1.0,1.3,4.9,1.8,2.8,3.6,5.5,0.6,1.3,1.3,0.6
ESP,Spain,1.2,2.1,3.0,1.8,1.7,9.0,2.8,4.9,3.2,4.2,2.2,2.9,1.6,3.4,0.9,1.3,3.4,3.3,1.2,3.0,6.0,4.0,1.2,1.6,2.1,0.9
LKA,Sri Lanka,0.9,1.2,1.4,0.6,0.2,3.7,1.9,1.1,1.1,0.6,1.3,1.5,1.3,1.7,0.4,0.5,0.5,0.9,0.3,1.4,5.2,2.2,0.4,0.7,1.0,0.2
SDN,Sudan,1.1,2.0,2.3,1.3,1.0,3.4,4.6,1.7,2.3,1.4,2.0,2.5,1.2,1.2,1.2,0.6,0.9,1.4,1.3,2.5,5.0,4.5,0.4,1.2,1.6,0.4
SUR,Suriname,0.9,1.1,1.4,0.5,0.3,4.0,1.9,1.8,1.2,0.7,1.5,2.0,1.5,1.7,0.5,0.4,0.4,2.5,0.2,1.4,4.5,1.7,0.5,0.8,0.7,0.2
SWE,Sweden,0.9,1.7,2.9,1.2,1.3,10.4,2.6,0.6,2.3,2.0,1.7,1.8,1.7,3.3,0.7,1.1,0.7,0.8,0.5,3.2,6.1,2.5,0.9,1.1,1.7,0.5
CHE,Switzerland,0.7,1.3,1.9,0.7,1.4,5.3,1.4,0.8,1.5,2.1,0.9,1.3,1.3,2.5,0.4,1.2,0.5,1.6,0.4,2.1,2.5,1.4,0.7,0.9,0.7,0.4
SYR,Syrian Arab Republic,1.2,2.2,3.8,1.9,1.1,14.9,4.5,3.2,3.3,2.3,2.7,2.7,1.7,1.2,1.3,0.7,1.6,3.4,0.7,3.6,11.8,4.8,0.9,1.5,3.3,0.7
TJK,Tajikistan,0.4,0.8,1.3,0.6,0.4,4.7,1.6,1.7,1.2,1.0,1.0,1.2,0.8,0.6,0.5,1.1,0.5,3.4,0.2,1.3,3.8,1.7,0.3,0.8,1.1,0.2
THA,Thailand,2.3,1.9,2.6,1.1,0.8,6.4,3.2,3.2,2.3,1.1,2.3,2.9,2.5,2.4,0.8,0.4,1.4,2.4,0.7,2.5,7.9,3.2,0.8,1.2,1.2,0.4
TLS,Timor-Leste,0.8,1.2,1.4,0.7,0.3,2.5,2.2,1.0,1.5,0.7,1.1,1.7,0.8,0.3,0.8,0.3,0.4,2.9,0.5,1.1,2.7,1.8,0.3,0.6,0.9,0.3
TGO,Togo,1.1,1.4,1.9,1.0,0.3,2.5,3.8,2.7,2.1,1.0,1.5,2.6,0.9,0.5,1.2,0.2,1.0,2.9,0.8,1.7,3.6,3.7,0.5,1.5,1.8,0.2
TON,Tonga,3.1,1.8,4.4,3.6,0.9,8.7,4.8,7.0,2.6,1.5,1.9,3.1,2.3,1.2,2.6,3.4,1.7,9.2,0.8,3.7,17.3,12.6,1.2,4.0,7.0,0.8
TTO,Trinidad and Tobago,0.2,0.5,0.5,0.2,0.1,1.1,0.4,1.6,0.3,0.4,0.7,0.7,0.4,0.8,0.1,0.2,0.2,0.3,0.1,0.5,0.4,0.4,0.3,0.4,0.3,0.1
TUN,Tunisia,0.8,1.5,2.4,1.3,0.8,8.8,2.7,4.6,1.8,1.6,1.8,2.0,1.3,1.8,0.9,1.3,1.7,3.5,0.5,2.5,6.4,3.2,0.8,1.3,2.2,0.5
TUR,Turkey,1.4,2.4,4.2,2.0,1.3,15.6,4.9,4.5,3.6,3.0,3.0,3.6,2.3,2.0,1.7,1.2,2.9,3.7,1.2,4.3,13.4,5.4,1.1,2.0,3.2,1.1
TKM,Turkmenistan,0.8,1.6,2.8,1.0,0.7,10.8,2.6,1.4,1.9,2.0,1.9,1.9,1.4,2.0,0.7,0.9,0.7,1.9,0.3,2.6,7.7,2.6,0.7,1.1,1.7,0.3
UGA,Uganda,1.0,1.7,1.9,1.1,0.6,2.8,3.8,2.7,2.2,1.3,1.5,2.9,1.1,0.8,1.6,1.7,1.0,3.5,1.0,1.7,2.6,3.8,0.6,1.5,1.6,0.6
UKR,Ukraine,2.0,3.2,6.6,2.8,1.4,19.5,8.8,3.3,7.3,3.3,4.5,6.4,2.7,1.7,2.9,1.3,12.7,3.7,4.6,6.8,12.7,10.0,1.5,2.4,4.0,1.3
ARE,United Arab Emirates,0.1,0.2,0.2,0.1,0.1,0.6,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.5,0.1,0.2,0.1,0.5,0.0,0.3,0.1,0.2,0.2,0.2,0.1,0.0
GBR,United Kingdom of Great Britain and Northern Ireland,0.9,1.5,2.7,1.1,0.9,9.1,2.5,1.0,2.1,1.7,1.7,1.8,1.4,2.3,0.6,0.8,0.9,1.4,0.7,2.7,5.6,2.4,0.8,1.1,1.7,0.6
TZA,United Republic of Tanzania,1.4,2.2,2.8,1.4,0.7,4.4,5.3,2.9,3.3,1.5,2.1,3.7,1.5,0.7,2.0,2.0,3.2,4.6,2.0,2.5,5.4,6.0,0.7,1.6,2.0,0.7
USA,United States of America,1.7,3.4,5.3,2.7,2.1,13.2,6.0,4.3,5.3,3.7,3.8,4.3,2.4,3.5,2.7,1.1,1.5,2.7,1.9,5.4,8.8,4.8,1.6,2.5,3.1,1.1
VIR,United States Virgin Islands,0.0,0.2,0.2,0.0,0.1,0.5,0.1,0.0,0.1,0.2,0.1,0.1,0.1,0.4,0.0,0.1,0.1,0.0,0.0,0.2,0.0,0.1,0.1,0.1,0.0,0.0
URY,Uruguay,2.7,5.0,8.7,3.1,2.3,27.5,8.0,3.3,6.2,4.9,5.5,5.5,4.3,7.1,2.2,1.9,1.9,2.6,1.6,8.0,19.5,7.0,2.1,2.8,4.6,1.6
UZB,Uzbekistan,0.9,1.7,2.9,1.2,0.9,11.1,3.1,3.0,2.2,2.2,2.0,2.4,1.6,1.7,0.9,2.2,0.9,6.4,0.4,2.9,8.3,3.2,0.7,1.4,2.1,0.4
VUT,Vanuatu,1.6,1.8,2.5,2.1,0.5,6.1,2.9,2.6,1.5,0.9,1.9,1.9,1.2,3.4,1.9,0.5,0.8,4.7,0.6,2.3,7.8,6.7,0.8,1.9,3.4,0.5
VEN,Venezuela (Bolivarian Republic of),0.7,1.1,1.3,0.5,0.5,2.4,1.4,1.9,1.0,1.0,1.1,1.7,0.9,1.6,0.4,0.6,0.7,0.8,0.5,1.2,1.3,1.3,0.5,0.7,0.6,0.4
VNM,Viet Nam,1.6,2.6,3.0,1.2,0.8,6.7,3.6,3.8,2.7,1.1,2.3,2.9,2.4,2.4,0.9,0.8,0.9,12.3,0.8,2.9,7.8,4.0,0.8,1.2,1.2,0.8
ESH,Western Sahara,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0
YEM,Yemen,0.2,0.6,0.6,0.3,0.2,1.5,0.9,0.8,0.5,0.5,0.6,0.7,0.3,1.0,0.3,0.2,0.2,0.4,0.2,0.6,1.9,0.9,0.2,0.3,0.4,0.2
ZMB,Zambia,1.3,1.9,2.5,1.2,0.4,4.6,4.1,1.5,2.5,1.4,1.9,3.2,0.9,0.9,0.8,0.5,0.8,3.1,1.0,1.8,3.0,3.1,0.6,1.0,1.6,0.4
ZWE,Zimbabwe,0.7,1.0,1.3,0.6,0.3,2.1,2.0,0.8,1.2,0.8,1.0,1.6,0.5,0.7,0.4,0.2,0.4,1.7,0.5,1.0,1.4,1.5,0.3,0.5,0.8,0.2
